Group,Proximity_Euclid,Proximity_Maha,Maha_over_Euclid
Elderly Female,0.2761,11.6957,42.36
Elderly Male,0.0725,7.903,109.01
Middle-aged Female,0.1385,11.6411,84.05
Middle-aged Male,0.2258,8.5311,37.78
Young Female,0.146,9.9047,67.84
Young Male,0.1182,9.2048,77.87
