Group,Best_Algorithm,HO_RMSE,HO_MAE,HO_R2,CV_RMSE_mean,CV_RMSE_std
Young Male,LGBM,18.386,8.5718,0.0728,15.1107,3.977
Young Female,LGBM,15.8624,7.1404,0.0813,12.8839,2.4338
Middle-aged Male,LGBM,25.9668,15.2688,0.0315,25.1956,2.0116
Middle-aged Female,XGB,17.3049,10.5567,0.1536,19.7553,1.7777
Elderly Male,LGBM,21.4421,15.716,0.0507,25.5796,3.2447
Elderly Female,RF,20.1553,13.5241,0.0698,21.8464,1.0217
